id,name,template,reference,icon_path
691,vnd.microsoft.portable-executable,application/vnd.microsoft.portable-executable,[Henrik_Andersson],NULL
692,vnd.miele+json,application/vnd.miele+json,[Nils_Langhammer],NULL
693,vnd.mif,application/vnd-mif,[Mike_Wexler],NULL
694,vnd.minisoft-hp3000-save,application/vnd.minisoft-hp3000-save,[Chris_Bartram],NULL
695,vnd.mitsubishi.misty-guard.trustweb,application/vnd.mitsubishi.misty-guard.trustweb,[Tanaka],NULL
696,vnd.Mobius.DAF,application/vnd.Mobius.DAF,[Allen_K._Kabayama],NULL
697,vnd.Mobius.DIS,application/vnd.Mobius.DIS,[Allen_K._Kabayama],NULL
698,vnd.Mobius.MBK,application/vnd.Mobius.MBK,[Alex_Devasia],NULL
699,vnd.Mobius.MQY,application/vnd.Mobius.MQY,[Alex_Devasia],NULL
700,vnd.Mobius.MSL,application/vnd.Mobius.MSL,[Allen_K._Kabayama],NULL
701,vnd.Mobius.PLC,application/vnd.Mobius.PLC,[Allen_K._Kabayama],NULL
702,vnd.Mobius.TXF,application/vnd.Mobius.TXF,[Allen_K._Kabayama],NULL
703,vnd.mophun.application,application/vnd.mophun.application,[Bjorn_Wennerstrom],NULL
704,vnd.mophun.certificate,application/vnd.mophun.certificate,[Bjorn_Wennerstrom],NULL
705,vnd.motorola.flexsuite,application/vnd.motorola.flexsuite,[Mark_Patton],NULL
706,vnd.motorola.flexsuite.adsi,application/vnd.motorola.flexsuite.adsi,[Mark_Patton],NULL
707,vnd.motorola.flexsuite.fis,application/vnd.motorola.flexsuite.fis,[Mark_Patton],NULL
708,vnd.motorola.flexsuite.gotap,application/vnd.motorola.flexsuite.gotap,[Mark_Patton],NULL
709,vnd.motorola.flexsuite.kmr,application/vnd.motorola.flexsuite.kmr,[Mark_Patton],NULL
710,vnd.motorola.flexsuite.ttc,application/vnd.motorola.flexsuite.ttc,[Mark_Patton],NULL
711,vnd.motorola.flexsuite.wem,application/vnd.motorola.flexsuite.wem,[Mark_Patton],NULL
712,vnd.motorola.iprm,application/vnd.motorola.iprm,[Rafie_Shamsaasef],NULL
713,vnd.mozilla.xul+xml,application/vnd.mozilla.xul+xml,[Braden_N_McDaniel],NULL
714,vnd.ms-artgalry,application/vnd.ms-artgalry,[Dean_Slawson],NULL
715,vnd.ms-asf,application/vnd.ms-asf,[Eric_Fleischman],NULL
716,vnd.ms-cab-compressed,application/vnd.ms-cab-compressed,[Kim_Scarborough],NULL
717,vnd.ms-3mfdocument,application/vnd.ms-3mfdocument,[Shawn_Maloney],NULL
718,vnd.ms-excel,application/vnd.ms-excel,[Sukvinder_S._Gill],NULL
719,vnd.ms-excel.addin.macroEnabled.12,application/vnd.ms-excel.addin.macroEnabled.12,[Chris_Rae],NULL
720,vnd.ms-excel.sheet.binary.macroEnabled.12,application/vnd.ms-excel.sheet.binary.macroEnabled.12,[Chris_Rae],NULL
721,vnd.ms-excel.sheet.macroEnabled.12,application/vnd.ms-excel.sheet.macroEnabled.12,[Chris_Rae],NULL
722,vnd.ms-excel.template.macroEnabled.12,application/vnd.ms-excel.template.macroEnabled.12,[Chris_Rae],NULL
723,vnd.ms-fontobject,application/vnd.ms-fontobject,[Kim_Scarborough],NULL
724,vnd.ms-htmlhelp,application/vnd.ms-htmlhelp,[Anatoly_Techtonik],NULL
725,vnd.ms-ims,application/vnd.ms-ims,[Eric_Ledoux],NULL
726,vnd.ms-lrm,application/vnd.ms-lrm,[Eric_Ledoux],NULL
727,vnd.ms-office.activeX+xml,application/vnd.ms-office.activeX+xml,[Chris_Rae],NULL
728,vnd.ms-officetheme,application/vnd.ms-officetheme,[Chris_Rae],NULL
729,vnd.ms-playready.initiator+xml,application/vnd.ms-playready.initiator+xml,[Daniel_Schneider],NULL
730,vnd.ms-powerpoint,application/vnd.ms-powerpoint,[Sukvinder_S._Gill],NULL
731,vnd.ms-powerpoint.addin.macroEnabled.12,application/vnd.ms-powerpoint.addin.macroEnabled.12,[Chris_Rae],NULL
732,vnd.ms-powerpoint.presentation.macroEnabled.12,application/vnd.ms-powerpoint.presentation.macroEnabled.12,[Chris_Rae],NULL
733,vnd.ms-powerpoint.slide.macroEnabled.12,application/vnd.ms-powerpoint.slide.macroEnabled.12,[Chris_Rae],NULL
734,vnd.ms-powerpoint.slideshow.macroEnabled.12,application/vnd.ms-powerpoint.slideshow.macroEnabled.12,[Chris_Rae],NULL
735,vnd.ms-powerpoint.template.macroEnabled.12,application/vnd.ms-powerpoint.template.macroEnabled.12,[Chris_Rae],NULL
736,vnd.ms-PrintDeviceCapabilities+xml,application/vnd.ms-PrintDeviceCapabilities+xml,[Justin_Hutchings],NULL
737,vnd.ms-PrintSchemaTicket+xml,application/vnd.ms-PrintSchemaTicket+xml,[Justin_Hutchings],NULL
738,vnd.ms-project,application/vnd.ms-project,[Sukvinder_S._Gill],NULL
739,vnd.ms-tnef,application/vnd.ms-tnef,[Sukvinder_S._Gill],NULL
740,vnd.ms-windows.devicepairing,application/vnd.ms-windows.devicepairing,[Justin_Hutchings],NULL
741,vnd.ms-windows.nwprinting.oob,application/vnd.ms-windows.nwprinting.oob,[Justin_Hutchings],NULL
742,vnd.ms-windows.printerpairing,application/vnd.ms-windows.printerpairing,[Justin_Hutchings],NULL
743,vnd.ms-windows.wsd.oob,application/vnd.ms-windows.wsd.oob,[Justin_Hutchings],NULL
744,vnd.ms-wmdrm.lic-chlg-req,application/vnd.ms-wmdrm.lic-chlg-req,[Kevin_Lau],NULL
745,vnd.ms-wmdrm.lic-resp,application/vnd.ms-wmdrm.lic-resp,[Kevin_Lau],NULL
746,vnd.ms-wmdrm.meter-chlg-req,application/vnd.ms-wmdrm.meter-chlg-req,[Kevin_Lau],NULL
747,vnd.ms-wmdrm.meter-resp,application/vnd.ms-wmdrm.meter-resp,[Kevin_Lau],NULL
748,vnd.ms-word.document.macroEnabled.12,application/vnd.ms-word.document.macroEnabled.12,[Chris_Rae],NULL
749,vnd.ms-word.template.macroEnabled.12,application/vnd.ms-word.template.macroEnabled.12,[Chris_Rae],NULL
750,vnd.ms-works,application/vnd.ms-works,[Sukvinder_S._Gill],NULL
751,vnd.ms-wpl,application/vnd.ms-wpl,[Dan_Plastina],NULL
752,vnd.ms-xpsdocument,application/vnd.ms-xpsdocument,[Jesse_McGatha],NULL
753,vnd.msa-disk-image,application/vnd.msa-disk-image,[Thomas_Huth],NULL
754,vnd.mseq,application/vnd.mseq,[Gwenael_Le_Bodic],NULL
755,vnd.msign,application/vnd.msign,[Malte_Borcherding],NULL
756,vnd.multiad.creator,application/vnd.multiad.creator,[Steve_Mills],NULL
757,vnd.multiad.creator.cif,application/vnd.multiad.creator.cif,[Steve_Mills],NULL
758,vnd.musician,application/vnd.musician,[Greg_Adams],NULL
759,vnd.music-niff,application/vnd.music-niff,[Tim_Butler],NULL
760,vnd.muvee.style,application/vnd.muvee.style,[Chandrashekhara_Anantharamu],NULL
761,vnd.mynfc,application/vnd.mynfc,[Franck_Lefevre],NULL
762,vnd.ncd.control,application/vnd.ncd.control,[Lauri_Tarkkala],NULL
763,vnd.ncd.reference,application/vnd.ncd.reference,[Lauri_Tarkkala],NULL
764,vnd.nearst.inv+json,application/vnd.nearst.inv+json,[Thomas_Schoffelen],NULL
765,vnd.nervana,application/vnd.nervana,[Steve_Judkins],NULL
766,vnd.netfpx,application/vnd.netfpx,[Andy_Mutz],NULL
767,vnd.neurolanguage.nlu,application/vnd.neurolanguage.nlu,[Dan_DuFeu],NULL
768,vnd.nintendo.snes.rom,application/vnd.nintendo.snes.rom,[Henrik_Andersson],NULL
769,vnd.nintendo.nitro.rom,application/vnd.nintendo.nitro.rom,[Henrik_Andersson],NULL
770,vnd.nitf,application/vnd.nitf,[Steve_Rogan],NULL
771,vnd.noblenet-directory,application/vnd.noblenet-directory,[Monty_Solomon],NULL
772,vnd.noblenet-sealer,application/vnd.noblenet-sealer,[Monty_Solomon],NULL
773,vnd.noblenet-web,application/vnd.noblenet-web,[Monty_Solomon],NULL
774,vnd.nokia.catalogs,application/vnd.nokia.catalogs,[Nokia],NULL
775,vnd.nokia.conml+wbxml,application/vnd.nokia.conml+wbxml,[Nokia],NULL
776,vnd.nokia.conml+xml,application/vnd.nokia.conml+xml,[Nokia],NULL
777,vnd.nokia.iptv.config+xml,application/vnd.nokia.iptv.config+xml,[Nokia],NULL
778,vnd.nokia.iSDS-radio-presets,application/vnd.nokia.iSDS-radio-presets,[Nokia],NULL
779,vnd.nokia.landmark+wbxml,application/vnd.nokia.landmark+wbxml,[Nokia],NULL
780,vnd.nokia.landmark+xml,application/vnd.nokia.landmark+xml,[Nokia],NULL
781,vnd.nokia.landmarkcollection+xml,application/vnd.nokia.landmarkcollection+xml,[Nokia],NULL
782,vnd.nokia.ncd,application/vnd.nokia.ncd,[Nokia],NULL
783,vnd.nokia.n-gage.ac+xml,application/vnd.nokia.n-gage.ac+xml,[Nokia],NULL
784,vnd.nokia.n-gage.data,application/vnd.nokia.n-gage.data,[Nokia],NULL
785,"vnd.nokia.n-gage.symbian.install - OBSOLETE; no replacement given",application/vnd.nokia.n-gage.symbian.install,[Nokia],NULL
786,vnd.nokia.pcd+wbxml,application/vnd.nokia.pcd+wbxml,[Nokia],NULL
787,vnd.nokia.pcd+xml,application/vnd.nokia.pcd+xml,[Nokia],NULL
788,vnd.nokia.radio-preset,application/vnd.nokia.radio-preset,[Nokia],NULL
789,vnd.nokia.radio-presets,application/vnd.nokia.radio-presets,[Nokia],NULL
790,vnd.novadigm.EDM,application/vnd.novadigm.EDM,[Janine_Swenson],NULL
791,vnd.novadigm.EDX,application/vnd.novadigm.EDX,[Janine_Swenson],NULL
792,vnd.novadigm.EXT,application/vnd.novadigm.EXT,[Janine_Swenson],NULL
793,vnd.ntt-local.content-share,application/vnd.ntt-local.content-share,[Akinori_Taya],NULL
794,vnd.ntt-local.file-transfer,application/vnd.ntt-local.file-transfer,[NTT-local],NULL
795,vnd.ntt-local.ogw_remote-access,application/vnd.ntt-local.ogw_remote-access,[NTT-local],NULL
796,vnd.ntt-local.sip-ta_remote,application/vnd.ntt-local.sip-ta_remote,[NTT-local],NULL
797,vnd.ntt-local.sip-ta_tcp_stream,application/vnd.ntt-local.sip-ta_tcp_stream,[NTT-local],NULL
798,vnd.oasis.opendocument.chart,application/vnd.oasis.opendocument.chart,[Svante_Schubert][OASIS],NULL
799,vnd.oasis.opendocument.chart-template,application/vnd.oasis.opendocument.chart-template,[Svante_Schubert][OASIS],NULL
800,vnd.oasis.opendocument.database,application/vnd.oasis.opendocument.database,[Svante_Schubert][OASIS],NULL
801,vnd.oasis.opendocument.formula,application/vnd.oasis.opendocument.formula,[Svante_Schubert][OASIS],NULL
802,vnd.oasis.opendocument.formula-template,application/vnd.oasis.opendocument.formula-template,[Svante_Schubert][OASIS],NULL
803,vnd.oasis.opendocument.graphics,application/vnd.oasis.opendocument.graphics,[Svante_Schubert][OASIS],NULL
804,vnd.oasis.opendocument.graphics-template,application/vnd.oasis.opendocument.graphics-template,[Svante_Schubert][OASIS],NULL
805,vnd.oasis.opendocument.image,application/vnd.oasis.opendocument.image,[Svante_Schubert][OASIS],NULL
806,vnd.oasis.opendocument.image-template,application/vnd.oasis.opendocument.image-template,[Svante_Schubert][OASIS],NULL
807,vnd.oasis.opendocument.presentation,application/vnd.oasis.opendocument.presentation,[Svante_Schubert][OASIS],NULL
808,vnd.oasis.opendocument.presentation-template,application/vnd.oasis.opendocument.presentation-template,[Svante_Schubert][OASIS],NULL
809,vnd.oasis.opendocument.spreadsheet,application/vnd.oasis.opendocument.spreadsheet,[Svante_Schubert][OASIS],NULL
810,vnd.oasis.opendocument.spreadsheet-template,application/vnd.oasis.opendocument.spreadsheet-template,[Svante_Schubert][OASIS],NULL
811,vnd.oasis.opendocument.text,application/vnd.oasis.opendocument.text,[Svante_Schubert][OASIS],NULL
812,vnd.oasis.opendocument.text-master,application/vnd.oasis.opendocument.text-master,[Svante_Schubert][OASIS],NULL
813,vnd.oasis.opendocument.text-template,application/vnd.oasis.opendocument.text-template,[Svante_Schubert][OASIS],NULL
814,vnd.oasis.opendocument.text-web,application/vnd.oasis.opendocument.text-web,[Svante_Schubert][OASIS],NULL
815,vnd.obn,application/vnd.obn,[Matthias_Hessling],NULL
816,vnd.oftn.l10n+json,application/vnd.oftn.l10n+json,[Eli_Grey],NULL
817,vnd.oipf.contentaccessdownload+xml,application/vnd.oipf.contentaccessdownload+xml,[Claire_DEsclercs],NULL
818,vnd.oipf.contentaccessstreaming+xml,application/vnd.oipf.contentaccessstreaming+xml,[Claire_DEsclercs],NULL
819,vnd.oipf.cspg-hexbinary,application/vnd.oipf.cspg-hexbinary,[Claire_DEsclercs],NULL
820,vnd.oipf.dae.svg+xml,application/vnd.oipf.dae.svg+xml,[Claire_DEsclercs],NULL
821,vnd.oipf.dae.xhtml+xml,application/vnd.oipf.dae.xhtml+xml,[Claire_DEsclercs],NULL
822,vnd.oipf.mippvcontrolmessage+xml,application/vnd.oipf.mippvcontrolmessage+xml,[Claire_DEsclercs],NULL
823,vnd.oipf.pae.gem,application/vnd.oipf.pae.gem,[Claire_DEsclercs],NULL
824,vnd.oipf.spdiscovery+xml,application/vnd.oipf.spdiscovery+xml,[Claire_DEsclercs],NULL
825,vnd.oipf.spdlist+xml,application/vnd.oipf.spdlist+xml,[Claire_DEsclercs],NULL
826,vnd.oipf.ueprofile+xml,application/vnd.oipf.ueprofile+xml,[Claire_DEsclercs],NULL
827,vnd.oipf.userprofile+xml,application/vnd.oipf.userprofile+xml,[Claire_DEsclercs],NULL
828,vnd.olpc-sugar,application/vnd.olpc-sugar,[John_Palmieri],NULL
829,vnd.oma.bcast.associated-procedure-parameter+xml,application/vnd.oma.bcast.associated-procedure-parameter+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
830,vnd.oma.bcast.drm-trigger+xml,application/vnd.oma.bcast.drm-trigger+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
831,vnd.oma.bcast.imd+xml,application/vnd.oma.bcast.imd+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
832,vnd.oma.bcast.ltkm,application/vnd.oma.bcast.ltkm,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
833,vnd.oma.bcast.notification+xml,application/vnd.oma.bcast.notification+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
834,vnd.oma.bcast.provisioningtrigger,application/vnd.oma.bcast.provisioningtrigger,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
835,vnd.oma.bcast.sgboot,application/vnd.oma.bcast.sgboot,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
836,vnd.oma.bcast.sgdd+xml,application/vnd.oma.bcast.sgdd+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
837,vnd.oma.bcast.sgdu,application/vnd.oma.bcast.sgdu,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
838,vnd.oma.bcast.simple-symbol-container,application/vnd.oma.bcast.simple-symbol-container,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
839,vnd.oma.bcast.smartcard-trigger+xml,application/vnd.oma.bcast.smartcard-trigger+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
840,vnd.oma.bcast.sprov+xml,application/vnd.oma.bcast.sprov+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
841,vnd.oma.bcast.stkm,application/vnd.oma.bcast.stkm,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
842,vnd.oma.cab-address-book+xml,application/vnd.oma.cab-address-book+xml,[Hao_Wang][OMA],NULL
843,vnd.oma.cab-feature-handler+xml,application/vnd.oma.cab-feature-handler+xml,[Hao_Wang][OMA],NULL
844,vnd.oma.cab-pcc+xml,application/vnd.oma.cab-pcc+xml,[Hao_Wang][OMA],NULL
845,vnd.oma.cab-subs-invite+xml,application/vnd.oma.cab-subs-invite+xml,[Hao_Wang][OMA],NULL
846,vnd.oma.cab-user-prefs+xml,application/vnd.oma.cab-user-prefs+xml,[Hao_Wang][OMA],NULL
847,vnd.oma.dcd,application/vnd.oma.dcd,[Avi_Primo][Open_Mobile_Naming_Authority],NULL
848,vnd.oma.dcdc,application/vnd.oma.dcdc,[Avi_Primo][Open_Mobile_Naming_Authority],NULL
849,vnd.oma.dd2+xml,application/vnd.oma.dd2+xml,[Jun_Sato][Open_Mobile_Alliance_BAC_DLDRM_Working_Group],NULL
850,vnd.oma.drm.risd+xml,application/vnd.oma.drm.risd+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],NULL
851,vnd.oma.group-usage-list+xml,application/vnd.oma.group-usage-list+xml,[Sean_Kelley][OMA_Presence_and_Availability_PAG_Working_Group],NULL
852,vnd.oma.lwm2m+json,application/vnd.oma.lwm2m+json,[John_Mudge][Open_Mobile_Naming_Authority],NULL
853,vnd.oma.lwm2m+tlv,application/vnd.oma.lwm2m+tlv,[John_Mudge][Open_Mobile_Naming_Authority],NULL
854,vnd.oma.pal+xml,application/vnd.oma.pal+xml,[Brian_McColgan][Open_Mobile_Naming_Authority],NULL
855,vnd.oma.poc.detailed-progress-report+xml,application/vnd.oma.poc.detailed-progress-report+xml,[OMA_Push_to_Talk_over_Cellular_POC_Working_Group],NULL
856,vnd.oma.poc.final-report+xml,application/vnd.oma.poc.final-report+xml,[OMA_Push_to_Talk_over_Cellular_POC_Working_Group],NULL
857,vnd.oma.poc.groups+xml,application/vnd.oma.poc.groups+xml,[Sean_Kelley][OMA_Push_to_Talk_over_Cellular_POC_Working_Group],NULL
858,vnd.oma.poc.invocation-descriptor+xml,application/vnd.oma.poc.invocation-descriptor+xml,[OMA_Push_to_Talk_over_Cellular_POC_Working_Group],NULL
859,vnd.oma.poc.optimized-progress-report+xml,application/vnd.oma.poc.optimized-progress-report+xml,[OMA_Push_to_Talk_over_Cellular_POC_Working_Group],NULL
860,vnd.oma.push,application/vnd.oma.push,[Bryan_Sullivan][OMA],NULL
861,vnd.oma.scidm.messages+xml,application/vnd.oma.scidm.messages+xml,[Wenjun_Zeng][Open_Mobile_Naming_Authority],NULL
862,vnd.oma.xcap-directory+xml,application/vnd.oma.xcap-directory+xml,[Sean_Kelley][OMA_Presence_and_Availability_PAG_Working_Group],NULL
863,vnd.omads-email+xml,application/vnd.omads-email+xml,[OMA_Data_Synchronization_Working_Group],NULL
864,vnd.omads-file+xml,application/vnd.omads-file+xml,[OMA_Data_Synchronization_Working_Group],NULL
865,vnd.omads-folder+xml,application/vnd.omads-folder+xml,[OMA_Data_Synchronization_Working_Group],NULL
866,vnd.omaloc-supl-init,application/vnd.omaloc-supl-init,[Julien_Grange],NULL
867,vnd.oma-scws-config,application/vnd.oma-scws-config,[Ilan_Mahalal],NULL
868,vnd.oma-scws-http-request,application/vnd.oma-scws-http-request,[Ilan_Mahalal],NULL
869,vnd.oma-scws-http-response,application/vnd.oma-scws-http-response,[Ilan_Mahalal],NULL
870,vnd.onepager,application/vnd.onepager,[Nathan_Black],NULL
871,vnd.openblox.game-binary,application/vnd.openblox.game-binary,[Mark_Otaris],NULL
872,vnd.openblox.game+xml,application/vnd.openblox.game+xml,[Mark_Otaris],NULL
873,vnd.openeye.oeb,application/vnd.openeye.oeb,[Craig_Bruce],NULL
874,vnd.openxmlformats-officedocument.custom-properties+xml,application/vnd.openxmlformats-officedocument.custom-properties+xml,[Makoto_Murata],NULL
875,vnd.openxmlformats-officedocument.customXmlProperties+xml,application/vnd.openxmlformats-officedocument.customXmlProperties+xml,[Makoto_Murata],NULL
876,vnd.openxmlformats-officedocument.drawing+xml,application/vnd.openxmlformats-officedocument.drawing+xml,[Makoto_Murata],NULL
877,vnd.openxmlformats-officedocument.drawingml.chart+xml,application/vnd.openxmlformats-officedocument.drawingml.chart+xml,[Makoto_Murata],NULL
878,vnd.openxmlformats-officedocument.drawingml.chartshapes+xml,application/vnd.openxmlformats-officedocument.drawingml.chartshapes+xml,[Makoto_Murata],NULL
879,vnd.openxmlformats-officedocument.drawingml.diagramColors+xml,application/vnd.openxmlformats-officedocument.drawingml.diagramColors+xml,[Makoto_Murata],NULL
880,vnd.openxmlformats-officedocument.drawingml.diagramData+xml,application/vnd.openxmlformats-officedocument.drawingml.diagramData+xml,[Makoto_Murata],NULL
881,vnd.openxmlformats-officedocument.drawingml.diagramLayout+xml,application/vnd.openxmlformats-officedocument.drawingml.diagramLayout+xml,[Makoto_Murata],NULL
882,vnd.openxmlformats-officedocument.drawingml.diagramStyle+xml,application/vnd.openxmlformats-officedocument.drawingml.diagramStyle+xml,[Makoto_Murata],NULL
883,vnd.openxmlformats-officedocument.extended-properties+xml,application/vnd.openxmlformats-officedocument.extended-properties+xml,[Makoto_Murata],NULL
884,vnd.openxmlformats-officedocument.presentationml.commentAuthors+xml,application/vnd.openxmlformats-officedocument.presentationml.commentAuthors+xml,[Makoto_Murata],NULL
885,vnd.openxmlformats-officedocument.presentationml.comments+xml,application/vnd.openxmlformats-officedocument.presentationml.comments+xml,[Makoto_Murata],NULL
886,vnd.openxmlformats-officedocument.presentationml.handoutMaster+xml,application/vnd.openxmlformats-officedocument.presentationml.handoutMaster+xml,[Makoto_Murata],NULL
887,vnd.openxmlformats-officedocument.presentationml.notesMaster+xml,application/vnd.openxmlformats-officedocument.presentationml.notesMaster+xml,[Makoto_Murata],NULL
888,vnd.openxmlformats-officedocument.presentationml.notesSlide+xml,application/vnd.openxmlformats-officedocument.presentationml.notesSlide+xml,[Makoto_Murata],NULL
889,vnd.openxmlformats-officedocument.presentationml.presentation,application/vnd.openxmlformats-officedocument.presentationml.presentation,[Makoto_Murata],NULL
890,vnd.openxmlformats-officedocument.presentationml.presentation.main+xml,application/vnd.openxmlformats-officedocument.presentationml.presentation.main+xml,[Makoto_Murata],NULL
891,vnd.openxmlformats-officedocument.presentationml.presProps+xml,application/vnd.openxmlformats-officedocument.presentationml.presProps+xml,[Makoto_Murata],NULL
892,vnd.openxmlformats-officedocument.presentationml.slide,application/vnd.openxmlformats-officedocument.presentationml.slide,[Makoto_Murata],NULL
893,vnd.openxmlformats-officedocument.presentationml.slide+xml,application/vnd.openxmlformats-officedocument.presentationml.slide+xml,[Makoto_Murata],NULL
894,vnd.openxmlformats-officedocument.presentationml.slideLayout+xml,application/vnd.openxmlformats-officedocument.presentationml.slideLayout+xml,[Makoto_Murata],NULL
895,vnd.openxmlformats-officedocument.presentationml.slideMaster+xml,application/vnd.openxmlformats-officedocument.presentationml.slideMaster+xml,[Makoto_Murata],NULL
896,vnd.openxmlformats-officedocument.presentationml.slideshow,application/vnd.openxmlformats-officedocument.presentationml.slideshow,[Makoto_Murata],NULL
897,vnd.openxmlformats-officedocument.presentationml.slideshow.main+xml,application/vnd.openxmlformats-officedocument.presentationml.slideshow.main+xml,[Makoto_Murata],NULL
898,vnd.openxmlformats-officedocument.presentationml.slideUpdateInfo+xml,application/vnd.openxmlformats-officedocument.presentationml.slideUpdateInfo+xml,[Makoto_Murata],NULL
899,vnd.openxmlformats-officedocument.presentationml.tableStyles+xml,application/vnd.openxmlformats-officedocument.presentationml.tableStyles+xml,[Makoto_Murata],NULL
900,vnd.openxmlformats-officedocument.presentationml.tags+xml,application/vnd.openxmlformats-officedocument.presentationml.tags+xml,[Makoto_Murata],NULL
901,vnd.openxmlformats-officedocument.presentationml.template,application/vnd.openxmlformats-officedocument.presentationml-template,[Makoto_Murata],NULL
902,vnd.openxmlformats-officedocument.presentationml.template.main+xml,application/vnd.openxmlformats-officedocument.presentationml.template.main+xml,[Makoto_Murata],NULL
903,vnd.openxmlformats-officedocument.presentationml.viewProps+xml,application/vnd.openxmlformats-officedocument.presentationml.viewProps+xml,[Makoto_Murata],NULL
904,vnd.openxmlformats-officedocument.spreadsheetml.calcChain+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.calcChain+xml,[Makoto_Murata],NULL
905,vnd.openxmlformats-officedocument.spreadsheetml.chartsheet+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.chartsheet+xml,[Makoto_Murata],NULL
906,vnd.openxmlformats-officedocument.spreadsheetml.comments+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.comments+xml,[Makoto_Murata],NULL
907,vnd.openxmlformats-officedocument.spreadsheetml.connections+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.connections+xml,[Makoto_Murata],NULL
908,vnd.openxmlformats-officedocument.spreadsheetml.dialogsheet+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.dialogsheet+xml,[Makoto_Murata],NULL
909,vnd.openxmlformats-officedocument.spreadsheetml.externalLink+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.externalLink+xml,[Makoto_Murata],NULL
910,vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheDefinition+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheDefinition+xml,[Makoto_Murata],NULL
911,vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheRecords+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheRecords+xml,[Makoto_Murata],NULL
912,vnd.openxmlformats-officedocument.spreadsheetml.pivotTable+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.pivotTable+xml,[Makoto_Murata],NULL
913,vnd.openxmlformats-officedocument.spreadsheetml.queryTable+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.queryTable+xml,[Makoto_Murata],NULL
914,vnd.openxmlformats-officedocument.spreadsheetml.revisionHeaders+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.revisionHeaders+xml,[Makoto_Murata],NULL
915,vnd.openxmlformats-officedocument.spreadsheetml.revisionLog+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.revisionLog+xml,[Makoto_Murata],NULL
916,vnd.openxmlformats-officedocument.spreadsheetml.sharedStrings+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.sharedStrings+xml,[Makoto_Murata],NULL
917,vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,[Makoto_Murata],NULL
918,vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml,[Makoto_Murata],NULL
919,vnd.openxmlformats-officedocument.spreadsheetml.sheetMetadata+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.sheetMetadata+xml,[Makoto_Murata],NULL
920,vnd.openxmlformats-officedocument.spreadsheetml.styles+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.styles+xml,[Makoto_Murata],NULL
921,vnd.openxmlformats-officedocument.spreadsheetml.table+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.table+xml,[Makoto_Murata],NULL
922,vnd.openxmlformats-officedocument.spreadsheetml.tableSingleCells+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.tableSingleCells+xml,[Makoto_Murata],NULL
923,vnd.openxmlformats-officedocument.spreadsheetml.template,application/vnd.openxmlformats-officedocument.spreadsheetml-template,[Makoto_Murata],NULL
924,vnd.openxmlformats-officedocument.spreadsheetml.template.main+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.template.main+xml,[Makoto_Murata],NULL
925,vnd.openxmlformats-officedocument.spreadsheetml.userNames+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.userNames+xml,[Makoto_Murata],NULL
926,vnd.openxmlformats-officedocument.spreadsheetml.volatileDependencies+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.volatileDependencies+xml,[Makoto_Murata],NULL
927,vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml,application/vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml,[Makoto_Murata],NULL
