id,name,template,reference,icon_path
250,rlmi+xml,application/rlmi+xml,[RFC4662],NULL
251,rls-services+xml,application/rls-services+xml,[RFC4826],NULL
252,rpki-ghostbusters,application/rpki-ghostbusters,[RFC6493],NULL
253,rpki-manifest,application/rpki-manifest,[RFC6481],NULL
254,rpki-roa,application/rpki-roa,[RFC6481],NULL
255,rpki-updown,application/rpki-updown,[RFC6492],NULL
256,rtf,application/rtf,[Paul_Lindner],NULL
257,rtploopback,application/rtploopback,[RFC6849],NULL
258,rtx,application/rtx,[RFC4588],NULL
259,samlassertion+xml,application/samlassertion+xml,[OASIS_Security_Services_Technical_Committee_SSTC],NULL
260,samlmetadata+xml,application/samlmetadata+xml,[OASIS_Security_Services_Technical_Committee_SSTC],NULL
261,sbml+xml,application/sbml+xml,[RFC3823],NULL
262,scaip+xml,application/scaip+xml,[SIS][Oskar_Jonsson],NULL
263,scim+json,application/scim+json,[RFC7644],NULL
264,scvp-cv-request,application/scvp-cv-request,[RFC5055],NULL
265,scvp-cv-response,application/scvp-cv-response,[RFC5055],NULL
266,scvp-vp-request,application/scvp-vp-request,[RFC5055],NULL
267,scvp-vp-response,application/scvp-vp-response,[RFC5055],NULL
268,sdp,application/sdp,[RFC4566],NULL
269,sep-exi,application/sep-exi,[Robby_Simpson][ZigBee],NULL
270,sep+xml,application/sep+xml,[Robby_Simpson][ZigBee],NULL
271,session-info,application/session-info,[_3GPP][Frederic_Firmin],NULL
272,set-payment,application/set-payment,[Brian_Korver],NULL
273,set-payment-initiation,application/set-payment-initiation,[Brian_Korver],NULL
274,set-registration,application/set-registration,[Brian_Korver],NULL
275,set-registration-initiation,application/set-registration-initiation,[Brian_Korver],NULL
276,sgml,application/SGML,[RFC1874],NULL
277,sgml-open-catalog,application/sgml-open-catalog,[Paul_Grosso],NULL
278,shf+xml,application/shf+xml,[RFC4194],NULL
279,sieve,application/sieve,[RFC5228],NULL
280,simple-filter+xml,application/simple-filter+xml,[RFC4661],NULL
281,simple-message-summary,application/simple-message-summary,[RFC3842],NULL
282,simpleSymbolContainer,application/simpleSymbolContainer,[_3GPP],NULL
283,slate,application/slate,[Terry_Crowley],NULL
284,"smil - OBSOLETED in favor of application/smil+xml",application/smil,[RFC4536],NULL
285,smil+xml,application/smil+xml,[RFC4536],NULL
286,smpte336m,application/smpte336m,[RFC6597],NULL
287,soap+fastinfoset,application/soap+fastinfoset,[ITU-T_ASN.1_Rapporteur],NULL
288,soap+xml,application/soap+xml,[RFC3902],NULL
289,sparql-query,,[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-query-20070614/#mediaType],NULL
290,sparql-results+xml,,[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-XMLres-20070925/#mime],NULL
291,spirits-event+xml,application/spirits-event+xml,[RFC3910],NULL
292,sql,application/sql,[RFC6922],NULL
293,srgs,application/srgs,[RFC4267],NULL
294,srgs+xml,application/srgs+xml,[RFC4267],NULL
295,sru+xml,application/sru+xml,[RFC6207],NULL
296,ssml+xml,application/ssml+xml,[RFC4267],NULL
297,tamp-apex-update,application/tamp-apex-update,[RFC5934],NULL
298,tamp-apex-update-confirm,application/tamp-apex-update-confirm,[RFC5934],NULL
299,tamp-community-update,application/tamp-community-update,[RFC5934],NULL
300,tamp-community-update-confirm,application/tamp-community-update-confirm,[RFC5934],NULL
301,tamp-error,application/tamp-error,[RFC5934],NULL
302,tamp-sequence-adjust,application/tamp-sequence-adjust,[RFC5934],NULL
303,tamp-sequence-adjust-confirm,application/tamp-sequence-adjust-confirm,[RFC5934],NULL
304,tamp-status-query,application/tamp-status-query,[RFC5934],NULL
305,tamp-status-response,application/tamp-status-response,[RFC5934],NULL
306,tamp-update,application/tamp-update,[RFC5934],NULL
307,tamp-update-confirm,application/tamp-update-confirm,[RFC5934],NULL
308,tei+xml,application/tei+xml,[RFC6129],NULL
309,thraud+xml,application/thraud+xml,[RFC5941],NULL
310,timestamp-query,application/timestamp-query,[RFC3161],NULL
311,timestamp-reply,application/timestamp-reply,[RFC3161],NULL
312,timestamped-data,application/timestamped-data,[RFC5955],NULL
313,ttml+xml,application/ttml+xml,[W3C][W3C_Timed_Text_Working_Group],NULL
314,tve-trigger,application/tve-trigger,[Linda_Welsh],NULL
315,ulpfec,application/ulpfec,[RFC5109],NULL
316,urc-grpsheet+xml,application/urc-grpsheet+xml,"[Gottfried_Zimmermann][ISO-IEC JTC1]",NULL
317,urc-ressheet+xml,application/urc-ressheet+xml,"[Gottfried_Zimmermann][ISO-IEC JTC1]",NULL
318,urc-targetdesc+xml,application/urc-targetdesc+xml,"[Gottfried_Zimmermann][ISO-IEC JTC1]",NULL
319,urc-uisocketdesc+xml,application/urc-uisocketdesc+xml,[Gottfried_Zimmermann],NULL
320,vcard+json,application/vcard+json,[RFC7095],NULL
